visibility,method,n_incidents,PR@1,PR@3,PR@5,Precision@1,Precision@3,Precision@5,Recall@1,Recall@3,Recall@5,MRR,MAP,avg_rank,median_rank,dataset_index,n_rows,n_nodes,n_edges
0.0,MicroRCA,200,0.03,0.09,0.14,0.03,0.03,0.027999999999999997,0.03,0.09,0.14,0.0795840726981769,0.0795840726981769,3970.18,182.0,84,8468727,11966,30727
0.0,CloudRanger,200,0.005,0.01,0.015,0.005,0.003333333333333333,0.0030000000000000005,0.005,0.01,0.015,0.009996228189470763,0.009996228189470763,5378.01,5442.5,84,8468727,11966,30727
0.0,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008399356511277906,0.0008399356511277906,5313.405,5557.5,84,8468727,11966,30727
0.0,MicroHECL,200,0.09,0.16,0.19,0.09,0.05333333333333332,0.038000000000000006,0.09,0.16,0.19,0.13919852831248047,0.13919852831248047,4265.27,187.0,84,8468727,11966,30727
0.0,TraceDiag,200,0.03,0.04,0.065,0.03,0.013333333333333332,0.012999999999999998,0.03,0.04,0.065,0.04847546784323454,0.04847546784323454,4987.475,5141.5,84,8468727,11966,30727
0.0,Neighbor Corr.,200,0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.01,0.008169792262584305,0.008169792262584305,3308.51,595.5,84,8468727,11966,30727
0.0,MonitorRank,200,0.035,0.1,0.14,0.035,0.03333333333333333,0.027999999999999997,0.035,0.1,0.14,0.0831783493728397,0.0831783493728397,4046.66,306.0,84,8468727,11966,30727
0.0,MicroRank,200,0.77,1.0,1.0,0.77,0.33333333333333326,0.2,0.77,1.0,1.0,0.885,0.885,1.23,1.0,84,8468727,11966,30727
0.0,CORAL,200,0.03,0.1,0.14,0.03,0.03333333333333333,0.027999999999999997,0.03,0.1,0.14,0.08152996275097753,0.08152996275097753,3973.355,182.0,84,8468727,11966,30727
0.0,TraceRank,200,0.485,1.0,1.0,0.485,0.33333333333333326,0.2,0.485,1.0,1.0,0.735,0.735,1.56,2.0,84,8468727,11966,30727
0.0,IRWR,200,0.05,0.165,0.2,0.05,0.055,0.04,0.05,0.165,0.2,0.1218932830527161,0.1218932830527161,3889.27,162.0,84,8468727,11966,30727
0.0,eIRWR,200,0.045,0.275,0.31,0.045,0.09166666666666666,0.06199999999999999,0.045,0.275,0.31,0.1675730182458396,0.1675730182458396,3289.935,187.0,84,8468727,11966,30727
0.05,MicroRCA,200,0.045,0.14,0.155,0.045,0.04666666666666666,0.031,0.045,0.14,0.155,0.10565669686409258,0.10565669686409258,1930.32,100.0,84,8468727,11966,30727
0.05,CloudRanger,200,0.005,0.01,0.015,0.005,0.003333333333333333,0.0030000000000000005,0.005,0.01,0.015,0.010878646546071806,0.010878646546071806,2346.125,1914.5,84,8468727,11966,30727
0.05,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008399356511277906,0.0008399356511277906,5313.405,5557.5,84,8468727,11966,30727
0.05,MicroHECL,200,0.09,0.165,0.195,0.09,0.05499999999999999,0.03900000000000001,0.09,0.165,0.195,0.1400744504305459,0.1400744504305459,4264.925,187.0,84,8468727,11966,30727
0.05,TraceDiag,200,0.03,0.105,0.14,0.03,0.035,0.028000000000000004,0.03,0.105,0.14,0.07821275432440741,0.07821275432440741,1508.335,261.0,84,8468727,11966,30727
0.05,Neighbor Corr.,200,0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.01,0.010130710979477143,0.010130710979477143,1374.925,231.5,84,8468727,11966,30727
0.05,MonitorRank,200,0.045,0.135,0.165,0.045,0.045,0.033,0.045,0.135,0.165,0.1051284507480068,0.1051284507480068,2083.695,118.0,84,8468727,11966,30727
0.05,MicroRank,200,0.77,1.0,1.0,0.77,0.33333333333333326,0.2,0.77,1.0,1.0,0.885,0.885,1.23,1.0,84,8468727,11966,30727
